STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
CA006158355,"TORONTO CITY, ON CA",2020-01-01,0.2,10,-0.1,1,-1.2
CA006158355,"TORONTO CITY, ON CA",2020-01-02,0,10,3.6,6.2,0.9
CA006158355,"TORONTO CITY, ON CA",2020-01-03,0,10,5.7,7.7,3.6
CA006158355,"TORONTO CITY, ON CA",2020-01-04,1.5,20,2,3.6,0.3
CA006158355,"TORONTO CITY, ON CA",2020-01-05,5.6,20,0.3,1.9,-1.2
CA006158355,"TORONTO CITY, ON CA",2020-01-06,0.2,70,0.6,2.9,-1.7
CA006158355,"TORONTO CITY, ON CA",2020-01-07,0,40,0.4,3.9,-3
CA006158355,"TORONTO CITY, ON CA",2020-01-08,1.6,50,-3.6,0.7,-7.9
CA006158355,"TORONTO CITY, ON CA",2020-01-09,0,30,-3.2,3.4,-9.8
CA006158355,"TORONTO CITY, ON CA",2020-01-10,1.1,20,5.4,7.6,3.3
CA006158355,"TORONTO CITY, ON CA",2020-01-11,55.3,10,7,11.8,2.2
CA006158355,"TORONTO CITY, ON CA",2020-01-12,12.8,20,-1.5,2.2,-5.2
CA006158355,"TORONTO CITY, ON CA",2020-01-13,0,20,-1,2.5,-4.5
CA006158355,"TORONTO CITY, ON CA",2020-01-14,,20,,,
CA006158355,"TORONTO CITY, ON CA",2020-01-15,0,20,3.6,4.7,2.4
CA006158355,"TORONTO CITY, ON CA",2020-01-16,0,40,-3.9,2.5,-10.4
CA006158355,"TORONTO CITY, ON CA",2020-01-17,0,10,-10.2,-6.9,-13.6
CA006158355,"TORONTO CITY, ON CA",2020-01-18,16.1,40,-2.5,2.6,-7.6
CA006158355,"TORONTO CITY, ON CA",2020-01-19,0.3,140,-4.5,1.3,-10.4
CA006158355,"TORONTO CITY, ON CA",2020-01-20,0.6,140,-8.9,-4.5,-13.2
CA006158355,"TORONTO CITY, ON CA",2020-01-21,0,140,-4.7,-1.7,-7.7
CA006158355,"TORONTO CITY, ON CA",2020-01-22,0,130,-2,1.4,-5.3
CA006158355,"TORONTO CITY, ON CA",2020-01-23,0.5,130,0.5,3.5,-2.5
CA006158355,"TORONTO CITY, ON CA",2020-01-24,20.9,120,2.4,3.6,1.2
CA006158355,"TORONTO CITY, ON CA",2020-01-25,7.9,50,3,3.9,2.1
CA006158355,"TORONTO CITY, ON CA",2020-01-26,1.3,20,2.7,4,1.4
CA006158355,"TORONTO CITY, ON CA",2020-01-27,0,10,1.5,2.2,0.8
CA006158355,"TORONTO CITY, ON CA",2020-01-28,0.4,10,0.7,2.5,-1.2
CA006158355,"TORONTO CITY, ON CA",2020-01-29,0,10,-3.8,-1,-6.6
CA006158355,"TORONTO CITY, ON CA",2020-01-30,0,10,-3.3,-1.3,-5.3
CA006158355,"TORONTO CITY, ON CA",2020-01-31,0,10,-1.2,0.3,-2.7
CA006158355,"TORONTO CITY, ON CA",2020-02-01,2.1,10,-0.4,1.3,-2
CA006158355,"TORONTO CITY, ON CA",2020-02-02,6.1,40,1.2,2.5,-0.1
CA006158355,"TORONTO CITY, ON CA",2020-02-03,0.5,40,4.3,6.4,2.2
CA006158355,"TORONTO CITY, ON CA",2020-02-04,0,10,-0.2,3.2,-3.7
CA006158355,"TORONTO CITY, ON CA",2020-02-05,1.1,10,-4.6,-2.3,-7
CA006158355,"TORONTO CITY, ON CA",2020-02-06,7.7,40,-3.4,-2.3,-4.6
CA006158355,"TORONTO CITY, ON CA",2020-02-07,1.4,80,-5.5,-3.4,-7.6
CA006158355,"TORONTO CITY, ON CA",2020-02-08,1.1,80,-9.8,-6.1,-13.4
CA006158355,"TORONTO CITY, ON CA",2020-02-09,5.8,70,-2.9,2.1,-7.9
CA006158355,"TORONTO CITY, ON CA",2020-02-10,1.2,80,2.6,4.2,1
CA006158355,"TORONTO CITY, ON CA",2020-02-11,0,60,1.5,3.8,-0.9
CA006158355,"TORONTO CITY, ON CA",2020-02-12,0.9,40,-0.2,2,-2.4
CA006158355,"TORONTO CITY, ON CA",2020-02-13,2.4,60,-7.3,0.8,-15.4
CA006158355,"TORONTO CITY, ON CA",2020-02-14,0.6,50,-13.4,-7.8,-19.1
CA006158355,"TORONTO CITY, ON CA",2020-02-15,0.4,50,-3.8,1.1,-8.7
CA006158355,"TORONTO CITY, ON CA",2020-02-16,0.4,50,1.4,4.3,-1.5
CA006158355,"TORONTO CITY, ON CA",2020-02-17,1,30,-2,0.1,-4.2
CA006158355,"TORONTO CITY, ON CA",2020-02-18,8.6,90,2.8,6.1,-0.6
CA006158355,"TORONTO CITY, ON CA",2020-02-19,0,40,-2.7,0.3,-5.7
CA006158355,"TORONTO CITY, ON CA",2020-02-20,1,30,-6.5,-4,-9.1
CA006158355,"TORONTO CITY, ON CA",2020-02-21,0.2,40,-4.1,1,-9.1
CA006158355,"TORONTO CITY, ON CA",2020-02-22,0.2,40,1.1,5.5,-3.2
CA006158355,"TORONTO CITY, ON CA",2020-02-23,0.8,10,4.6,7.5,1.7
CA006158355,"TORONTO CITY, ON CA",2020-02-24,1.1,10,5.8,9.4,2.2
CA006158355,"TORONTO CITY, ON CA",2020-02-25,0.2,10,3.7,5.6,1.7
CA006158355,"TORONTO CITY, ON CA",2020-02-26,11.8,10,0.4,4.1,-3.2
CA006158355,"TORONTO CITY, ON CA",2020-02-27,3.1,130,-4,-2.7,-5.3
CA006158355,"TORONTO CITY, ON CA",2020-02-28,1.1,80,-5.9,-2.5,-9.4
CA006158355,"TORONTO CITY, ON CA",2020-02-29,1.2,70,-8,-3.2,-12.8
CA006158355,"TORONTO CITY, ON CA",2020-03-01,0.7,60,-1.6,4.5,-7.7
CA006158355,"TORONTO CITY, ON CA",2020-03-02,2.1,30,4.7,7.1,2.4
CA006158355,"TORONTO CITY, ON CA",2020-03-03,9.9,10,3.8,4.8,2.7
CA006158355,"TORONTO CITY, ON CA",2020-03-04,0.4,10,4.8,7.7,1.9
CA006158355,"TORONTO CITY, ON CA",2020-03-05,1.1,10,2.2,5.2,-0.9
CA006158355,"TORONTO CITY, ON CA",2020-03-06,1.2,10,1.4,3.7,-0.8
CA006158355,"TORONTO CITY, ON CA",2020-03-07,1.1,20,-0.9,3.6,-5.4
CA006158355,"TORONTO CITY, ON CA",2020-03-08,0.5,20,5.9,10.6,1.2
CA006158355,"TORONTO CITY, ON CA",2020-03-09,0.2,10,12.4,17.2,7.5
CA006158355,"TORONTO CITY, ON CA",2020-03-10,3.4,10,5.6,11.5,-0.4
CA006158355,"TORONTO CITY, ON CA",2020-03-11,0.2,20,1.5,3.8,-0.9
CA006158355,"TORONTO CITY, ON CA",2020-03-12,0,10,3.4,6.3,0.6
CA006158355,"TORONTO CITY, ON CA",2020-03-13,6.2,20,5.8,8.9,2.6
CA006158355,"TORONTO CITY, ON CA",2020-03-14,0,10,2.3,4.7,-0.1
CA006158355,"TORONTO CITY, ON CA",2020-03-15,0.8,10,0.9,4.2,-2.4
CA006158355,"TORONTO CITY, ON CA",2020-03-16,1.5,20,0.9,3.5,-1.7
CA006158355,"TORONTO CITY, ON CA",2020-03-17,0.4,20,4.9,9,0.7
CA006158355,"TORONTO CITY, ON CA",2020-03-18,2.1,,1.9,4.5,-0.7
CA006158355,"TORONTO CITY, ON CA",2020-03-19,2.3,10,4.8,6.7,2.9
CA006158355,"TORONTO CITY, ON CA",2020-03-20,4.6,10,5.9,15.5,-3.6
CA006158355,"TORONTO CITY, ON CA",2020-03-21,0.9,10,-2.9,1.8,-7.7
CA006158355,"TORONTO CITY, ON CA",2020-03-22,0,10,-1.2,2.2,-4.7
CA006158355,"TORONTO CITY, ON CA",2020-03-23,12.1,30,2.2,3.9,0.4
CA006158355,"TORONTO CITY, ON CA",2020-03-24,0.2,20,3.3,5.2,1.3
CA006158355,"TORONTO CITY, ON CA",2020-03-25,1,20,5.7,8.7,2.6
CA006158355,"TORONTO CITY, ON CA",2020-03-26,0.9,20,8.9,14.2,3.7
CA006158355,"TORONTO CITY, ON CA",2020-03-27,0.9,10,5.9,9.3,2.6
CA006158355,"TORONTO CITY, ON CA",2020-03-28,1.1,0,5.5,7.2,3.8
CA006158355,"TORONTO CITY, ON CA",2020-03-29,11.3,10,11.7,18.4,4.9
CA006158355,"TORONTO CITY, ON CA",2020-03-30,2.5,10,7.6,9.7,5.6
CA006158355,"TORONTO CITY, ON CA",2020-03-31,0.3,10,5.4,6.3,4.4
CA006158355,"TORONTO CITY, ON CA",2020-04-01,0.6,,6.1,9.4,2.7
CA006158355,"TORONTO CITY, ON CA",2020-04-02,1.1,,8.8,14.1,3.5
CA006158355,"TORONTO CITY, ON CA",2020-04-03,1.4,,7.5,12.1,2.9
CA006158355,"TORONTO CITY, ON CA",2020-04-04,0,,9,10.9,7.1
CA006158355,"TORONTO CITY, ON CA",2020-04-05,0,,7.4,11.2,3.6
CA006158355,"TORONTO CITY, ON CA",2020-04-06,1.5,,7.2,12.8,1.6
CA006158355,"TORONTO CITY, ON CA",2020-04-07,6,,9.5,13.6,5.4
CA006158355,"TORONTO CITY, ON CA",2020-04-08,0.5,,10.4,14.7,6.2
CA006158355,"TORONTO CITY, ON CA",2020-04-09,8.8,,6.1,10.1,2.1
CA006158355,"TORONTO CITY, ON CA",2020-04-10,0.2,,4.5,8.1,1
CA006158355,"TORONTO CITY, ON CA",2020-04-11,1,,4.8,9.7,0
CA006158355,"TORONTO CITY, ON CA",2020-04-12,0.2,,9,13,5
CA006158355,"TORONTO CITY, ON CA",2020-04-13,14.8,,9.1,14.6,3.5
CA006158355,"TORONTO CITY, ON CA",2020-04-14,0.8,,4,7.8,0.2
CA006158355,"TORONTO CITY, ON CA",2020-04-15,1.1,,2,5.3,-1.4
CA006158355,"TORONTO CITY, ON CA",2020-04-16,0.7,,1.6,5.2,-2.1
CA006158355,"TORONTO CITY, ON CA",2020-04-17,0.9,,2.5,5.9,-0.9
CA006158355,"TORONTO CITY, ON CA",2020-04-18,1.4,,5,10.9,-0.9
CA006158355,"TORONTO CITY, ON CA",2020-04-19,0,,6.8,13.5,0.2
CA006158355,"TORONTO CITY, ON CA",2020-04-20,0.8,,2.9,6.4,-0.6
CA006158355,"TORONTO CITY, ON CA",2020-04-21,0.8,,3.4,7.8,-0.9
CA006158355,"TORONTO CITY, ON CA",2020-04-22,1.3,,2.4,6.6,-1.9
CA006158355,"TORONTO CITY, ON CA",2020-04-23,0.7,,2.8,5.6,-0.1
CA006158355,"TORONTO CITY, ON CA",2020-04-24,0.6,,8.3,10.9,5.6
CA006158355,"TORONTO CITY, ON CA",2020-04-25,1,,7.8,12.9,2.8
CA006158355,"TORONTO CITY, ON CA",2020-04-26,0.2,,9.2,11.7,6.7
CA006158355,"TORONTO CITY, ON CA",2020-04-27,0.6,,9.4,13.5,5.3
CA006158355,"TORONTO CITY, ON CA",2020-04-28,0.7,,9.1,11.3,6.8
CA006158355,"TORONTO CITY, ON CA",2020-04-29,0.6,,10.6,13.7,7.5
CA006158355,"TORONTO CITY, ON CA",2020-04-30,8.2,,10.9,13.1,8.7
CA006158355,"TORONTO CITY, ON CA",2020-05-01,1.2,,12.3,16.1,8.5
CA006158355,"TORONTO CITY, ON CA",2020-05-02,2,,11.1,14.9,7.3
